title,url,company,address,salary,experience,education,tags,fuli,detail
SLAM算法工程师,https://www.lagou.com/jobs/3933234.html,"宜高美
该企业已上传营业执照并通过资质验证审核",成都·高新区,"15k-30k
经验3-5年",硕士,"机器学习
模式识别",[],"“13薪,6险1金,年终奖,项目奖”","职位描述：
职位编号：0011
工作内容如下：
• Track the cutting-edge technical achievements
前沿科技成果追踪
• Build and optimize models to resolve practical problems
为解决实际问题建立及优化模型
• Research how the SLAM is applied into the domain of autonomous driving  and then turn it into a commerial product
研究SLAM在无人驾驶领域的应用，并将其产品化
• Research how to combine SLAM with other cutting-edge techniques
探索SLAM技术与其他前沿领域的结合

Requirements
1. Have basic computer vision related background, familiarize with the frequently-used computer vision or image processing algorithms, understand the theory of machine learning
计算机视觉相关背景，熟悉常用计算机视觉或图像处理算法，对其理论有较深的理解和认识
2. Familiar with C / C ++, Python, Matlab and able to do programming in Linux
熟悉C/C++、Python、Matlab；了解Linux下编程
3. Master degree or above with major in mathematics, computer or related
硕士及以上，数学或计算机相关专业
4. Prefer to familiarize with open source SLAM (ORB, LSD, SVO etc.)
熟悉常用开源SLAM（ORB、LSD、SVO等）框架加分
5. Prefer to have experience in sensor fusion, such as GPS, IMU
有传感器（GPS/IMU）融合经验加分"
SLAM/VIO/SFM算法实习生,https://www.lagou.com/jobs/5291602.html,"DeepMotion深动科技
该企业已上传营业执照并通过资质验证审核",北京·北京大…,"7k-14k
经验应届毕业生",本科,汽车,[],“核心部门大牛培养、有机会发顶会paper”,"职位描述：
职位职责：
1.多传感器联合标定技术的研发、验证、调试
2.高精地图自动化构建技术的研发、验证、调试
3.基于多传感器融合的定位技术的研发、验证、调试
任职要求：
1.良好的C++编程基础
2.良好的英文读写能力
3.良好的Paper，技术文档阅读能力
4.了解多视角几何、立体视觉的基本知识
5.动手能力强，有扎实的算法实现能力
6.熟悉ROS编程、调试者优先
7.有CVPR/ICCV/ECCV/IROS/ICRA/RSS等顶级会议发表者优先"
slam软件工程师,https://www.lagou.com/jobs/5178004.html,"兴承科技
该企业已上传营业执照并通过资质验证审核",北京·大兴区,"15k-30k
经验不限",大专,"C++
C
Linux/Unix
软件开发",[],"“平台好,氛围好,福利好,行业前景好”","职位描述：
岗位职责：
1）根据项目需求设计视觉算法并在嵌入式平台环境下实现
2）搭建图像和数据采集软硬件环境用于算法调试和性能评估
3）负责视觉导航、场景建模、3D vSLAM相关算法研究、实现与调试。

任职要求:
1）具有丰富的计算机视觉、机器视觉、视觉SLAM相关经验.
2）熟悉导航经典滤波算法，如卡尔曼、EKF、粒子滤波等；
3）具有视觉导航实际项目经验，有开发用于机器人或无人机的机器视觉系统和产品的经验优先；
4）具有扎实的代码实现能力，熟练使用C/C++，matlab，python等工具。"
SLAM算法开发工程师,https://www.lagou.com/jobs/3315089.html,"MINIEYE
该企业已上传营业执照并通过资质验证审核",深圳·科技园,"15k-30k
经验不限",硕士,"汽车
图像处理
模式识别",[],"“无人驾驶,车厂合作,扁平化管理,股票期权”","职位描述：
岗位职责:

负责室外环境，基于单目摄像头/IMU/GPS/汽车轮速等量测的运动估计算法开发；
负责算法的实现和产品化

岗位要求:

两年以上SLAM、SFM、定位算法经验，熟悉KF、ICP、图优化理论等
熟悉目前主流的视觉VO/SLAM算法(如MSCKF、SVO、DSO、ORB-SLAM等)
具有机器视觉、多传感器信息融合、惯导等组合导航专业知识
熟练掌握C/C++/Matlab等常用编程语言，丰富的Linux代码开发经验
具有ADAS、无人驾驶相关项目经验的优先
具备良好的自学能力和沟通能力，具有较强的学习能力"
SLAM算法工程师,https://www.lagou.com/jobs/3882102.html,"普渡科技
该企业已上传营业执照并通过资质验证审核",深圳·南山区,"40k-60k
经验1-3年",本科,"地图
软件开发",[],"“AI机器人,公司大牛多,发展空间大,弹性工作”","职位描述：
岗位职责：
1.负责精确激光定位模块开发；
2.负责精确激光建图模块开发；
3.激光SLAM与其他定位传感器的融合；
4.与其他模块工程师合作进行整机集成和调试。

任职要求：
1.理论基础扎实，熟悉卡尔曼滤波、图优化等原理；
2.了解state of art的激光SLAM原理；
3.熟练掌握Linux，ROS，QT，Matlab，C++，Python；
4.具有三年以上实际使用及优化激光定位方案的工程经验，解决室内多场景定位问题；
5.有多传感器融合定位经验者优先；
6.有机器人、无人车无人机比赛经验者优先。"
SLAM/VIO/三维重建算法研究员,https://www.lagou.com/jobs/4802781.html,"Face++
该企业已上传营业执照并通过资质验证审核",北京·海淀区,"30k-50k
经验1-3年",本科,地图,[],"“大牛多,空间大”","职位描述：
工作职责:
1. 研究和开发视觉 SLAM、VIO、三维重建算法；
2. 研究视觉与 IMU、码盘、激光等多传感器融合算法与高精地图重建。

任职资格:
必备要求
1. 熟练掌握 SLAM、VIO、三维重建等算法知识；
2. 掌握多传感器融合算法；
3. 掌握多视图几何、图优化等相关算法；
4. 熟悉常见开源 SLAM 框架，例如 ORB-SLAM2、VINS、OKVIS 等；
5. 熟悉常见开源工具库，例如 ceres、g2o、Eigen、OpenCV 等；
6. 具有丰富的 C/C++ 编程经验；
7. 计算机、机器人、自动化等相关专业本科及以上学历。

可选要求:
1. 熟悉 ROS 系统开发；
2. 了解计算机视觉相关的深度学习知识；
3. 会使用 OpenGL、Unreal 或者 Unity 开发；
4. 具有 AR/VR 等相关开发经验。"
SLAM/VIO/SFM 算法工程师,https://www.lagou.com/jobs/4996315.html,"DeepMotion深动科技
该企业已上传营业执照并通过资质验证审核",北京·中关村,"20k-40k
经验不限",本科,"汽车
其他
建模",[],"“六险一金,实习机会,弹性工作,学术氛围浓”","职位描述：
岗位职责
* 研发自动驾驶中的高精度语义地图构建算法;
* 研发点云地图和视觉语义地图的融合算法;
* 研发众包场景下的地图拼接、融合算法;
任职要求
* 熟悉经典的多视角几何基础理论;
* 熟悉经典的SFM/VIO/SLAM方法，能言简意赅地概括出经典方法的novelties和weaknesses;
* 熟悉三维重建中的常用非线性优化方法，有实际使用经验;
* 熟练使用C/C++, Git进行日常开发工作;
* 有自动驾驶相关多传感器融合实战工作经验者优先;
* 熟悉ROS, RViz, VTK者优先."
slam算法工程师,https://www.lagou.com/jobs/5356697.html,"平行现实
该企业已上传营业执照并通过资质验证审核",杭州·江南,"10k-20k
经验1-3年",本科,"人工智能
图像处理
计算机视觉",[],“带薪年假，五险一金，周末双休，股票期权”,"职位描述：
职位要求：
1、通信/计算机/电子/数学/软件相关专业本科以上学历；
2、机器人无人机开发、计算机视觉，AR/VR/MR行业工作经验者优先；
3、熟悉或精通目前常见的视觉slam、融合slam、VIO算法原理；
4、具有扎实的理论寄出，熟悉多视集合，卡尔曼滤波等基础算法，精通Matlab/C/C++，熟悉数字图像处理和图形常用算法原理；
5、有PTAM、LSD-SLAM、ORB-SLAM等SLAM开发经验优先；ros经验优先；
6、有OpenCV/PCL/OpenGL开发经验；

职责： 
1、基于计算机视觉、单目/双目视觉、结构光3d摄像头的VR头盔与VR手柄的融合slam惯导算法开发；
2、深度图像处理算法的开发，实现目标的检测与跟踪，三维重建和三维物体识别；
3、基于双目视觉，3D摄像头的场景三维重建算法的研发；
4、研发室内，户外大场景的地图构建，融合slam惯导算法与三维重建。

薪资待遇：
月薪10~20K+公司期权+业务奖金+项目分红，来了就是合伙人"
SLAM算法工程师,https://www.lagou.com/jobs/3994509.html,"联想集团
该企业已上传营业执照并通过资质验证审核",上海·浦东新…,"20k-40k
经验3-5年",硕士,"地图
计算机视觉
图像处理",[],“技术氛围好”,"职位描述：
岗位职责：
1,研究并开发在室内未知环境中摄像头、IMU输入信息的地图构建和定位算法；
2.负责完成AR设备上视觉定位算法的实现。
3.负责滤波或图优化算法的设计和编写。

任职资格：
1.计算机自动化相关专业毕业，有良好数学基础。
2.硕士或硕士以上学历。
3.熟悉SLAM问题中的信息配准融合、闭环检测等前端算法以及贝叶斯滤波、图优化等后端算法；
4.有过立体视觉，双目相机，深度估计，相机标定校正， SLAM，三维重建或目标跟踪/检测等相关项目经历优先。
5.熟练掌握C++ 编程，良好的代码风格，有linux下开发算法经验，熟练掌握CMake，有Android移植经验更佳。
6.工作认真细致，积极主动，富有责任心和团队合作精神和认同感，勇于超越技术极限，能独立承担攻关任务。"
激光slam算法工程师,https://www.lagou.com/jobs/4995816.html,"4DAGE
该企业已上传营业执照并通过资质验证审核",珠海·香洲区,"15k-20k
经验不限",本科,"人工智能
机器学习",[],"“大神多,专业培训,出国机会,优质宿舍”","职位描述：
【岗位职责】
1. 负责基于2D激光雷达的slam算法研发，实现移动机器人在未知环境下的地图构建和自主定位
2. 负责机器人自主导航中的路径规划、导航避障、参数优化等算法研发
3. 负责算法的移植和产品化
    【任职要求】  
1. 具有机器人、自动化、电气工程、机械自动化等相关专业本科及以上学历 
2. 具备移动机器人定位导航开发经验 
3. 热爱移动机器人行业，具备良好的逻辑沟通能力和解决实际问题的能力
    【加分项】
1. 熟悉激光雷达的使用和数据分析，有多传感器信息融合经验  
2. 熟悉ROS，有ROS开发经验

【公司优势】
1. 与德国人工智能研究中心（DFKI）合作成立中德人工智能研究院（CGAII），目前有中德专家团队成员约200人，团队成员均来自DFKI以及4DAGE的高级研究员
2. 创始人及高管人员均是欧洲海归博士及国内名校高材生，研发团队具有丰富的技术开发及项目运营经验；有机会去往德国人工智能研究中心（DFKI）互访学习
3. 公司于2017年完成了4000万元的Pre-A轮融资，现处于B轮融资阶段，发展前景极好
4. 六险一金齐全，周末双休，有机会入户珠海，带薪年假，年终境外旅游，每年1-3次调薪机会，丰厚年终奖
5. 提供优质宿舍，上班接送车，年度免费体检，节日福利，每月一次的购书福利，每天零食水果饮品宵夜供应
6. 队友特别神，待遇特别高，环境特别好，机会特别多，不定期团建活动和培训课程，还能抓住时代机遇，参与打造一家横扫全球的人工智能计算视觉公司"
SLAM导航算法工程师,https://www.lagou.com/jobs/5218943.html,"博智林机器人公司
该企业已上传营业执照并通过资质验证审核",佛山·顺德区,"15k-30k
经验3-5年",本科,硬件制造,[],"“行业大咖,博士团队”","职位描述：
1、熟悉基于激光雷达的SLAM算法，有激光SLAM方面的实际项目经验；
2、熟悉机器人路径规划、运动规划算法，有此方面实际项目经验；
3、了解图像识别、模式识别及机器人视觉基础知识，有视觉SLAM方面实际项目开发经历优先；
4、熟悉C、C++编程或者python和常用数据结构算法。
5、熟悉linux开发环境，有ROS开发经验优先。
6、具备良好的逻辑沟通能力和解决实际问题的能力。
7、具备良好的代码编程习惯和较好的文档编写能力；
8、乐观向上，吃苦耐劳，具备较强的学习能力、团队合作精神和探索钻研精神。"
SLAM算法工程师,https://www.lagou.com/jobs/1614210.html,"视+AR
该企业已上传营业执照并通过资质验证审核",上海·张江,"25k-45k
经验3-5年",硕士,"股票期权
岗位晋升
五险一金
弹性工作",[],“股票期权 带薪年假 员工旅游 发展空间大”,"职位描述：
岗位职责：
负责移动端增强现实引擎开发和优化。
负责移动端视觉算法优化

任职资格：
1. 硕士/博士学历，图像处理、模式识别、计算机视觉、机器学习相关专业研究方向；
2. 精通SLAM算法；
3. 对图像特征点检测和局部不变图像特征有深入理解和丰富经验；
4. 擅长移动端视觉算法优化；
5. 3年以上相关工作经验；
6. 热爱计算机视觉、SLAM算法；"
slam算法培养生,https://www.lagou.com/jobs/5354178.html,"天益智网
该企业已上传营业执照并通过资质验证审核",深圳·南山区,"5k-10k
经验应届毕业生",硕士,"带薪年假
交通补助
绩效奖金
股票期权",[],“双休”,"职位描述：
职位信息：
1.协助完成基于多传感器融合的SLAM算法开发
2.协助完成机器人的调试工作
岗位要求：
1.硕士以上学历，计算机、电子等相关专业
2.熟悉C/C++，python，熟悉移动机器人相关算法，掌握SLAM相关理论与基础
3.SLAM领域发表过论文优先
4.具备良好的学习能力和沟通能力"
slam算法攻城狮,https://www.lagou.com/jobs/5058732.html,"橙真网络科技有限公司
该企业已上传营业执照并通过资质验证审核",广州·天河区,"18k-27k
经验1-3年",硕士,"新零售
人工智能
机器学习
计算机视觉",[],“有趣”,"职位描述：
职责描述： 1、视觉传感器应用和SLAM算法研发； 2、基于安卓系统的机器人应用软件研发，和产品线上运营 3，人体建模，跟踪以及行为识别研究 任职要求： 1、具有2年以上编程经验，硕士以上 2、有C/C++开发经验，代码编写能力强，能用C/C++、MATLAB完成算法的设计、编码和验证工作,对计算机图形/图像学算法感兴趣；熟悉开源计算机视觉库如OpenCV；熟悉机器学习框架如Caffe和Tensorflow；精通CUDA或OpenCL并行计算编程；熟悉大规模数据存储和处理 3、熟悉linux系统开发环境；具有网络编程经验； 4、算法能力优秀者优先；熟悉视频或语音技术者优先； 我们有很多有挑战又开放的问题需要解决，最重要的是无论你做什么突破都是杠杠的impact，没有bullshit"
SLAM、视觉开发工程师,https://www.lagou.com/jobs/882795.html,"锐曼
该企业已上传营业执照并通过资质验证审核",深圳·沙井,"15k-25k
经验不限",硕士,"扁平管理
领导好
年终分红
五险一金",[],“优秀同事 机器人行业”,"职位描述：
熟悉基于RGB-D的SLAM算法；
  熟悉OPEN CV 和 PCL;
  勇于自我挑战；
 "
slam算法工程师,https://www.lagou.com/jobs/4890583.html,"悉见科技
该企业已上传营业执照并通过资质验证审核",北京·海淀区,"20k-40k
经验不限",硕士,"移动互联网
硬件制造
图像处理
深度学习
机器学习",[],"“精英团队,核心技术,弹性工作,薪酬福利优”","职位描述：

岗位职责：
1. 搭建完整的视觉和惯导融合的 SLAM 系统
2. 研发用于室内外大场景视觉定位的大规模地图构建、融合和定位算法

岗位要求：
1. 相关专业硕士及以上学历
2. 熟悉目前流行的视觉 SLAM 和 VIO 算法原理
3. 精通某一种视觉 SLAM 系统或 VIO 算法者优先
4. 熟悉多传感器融合框架
5. 具备扎实的理论基础，熟悉多视几何、卡尔曼滤波等算法
6. 动手能力强，有扎实的 C/C++ 算法实现能力，有较强的定位问题和解决问题能力，有很强的阅读代码能力
7. 有 ROS 经验者优先
8. 有强烈的求知欲，热爱学习新事物，对技术充满激情
9. 责任心强，有很强的沟通表达能力和团队意识

注：此岗位接收优秀实习生。

【关于我们】
悉见（Seengene Inc.）取意“洞悉所见”，是致力于打造混合现实大脑的人工智能公司，用空间智能引擎及室内外高精地图赋能各行业场景，实现物理世界的数字拷贝及混合现实交互。
团队由海内外名校博士硕士组成，高精采集及定位服务/行业混合现实解决方案及AR眼镜等产品已赋能百家标杆客户，总部位于北京，并在芬兰赫尔辛基、深圳、长春、南京、海南等地设有研发中心或子公司。
  【资质】
1.国家高新技术企业
2.新技术新产品认定企业
3.中关村高新技术企业
4.金种子企业
5.科技型中小企业认证
  【奖项】
1.创新中国春季峰会“优秀企业”
2.全球传感器与智能化“优秀奖”
3.中关村意谷“云上创客优秀奖”
4.青亭杯“最佳AR硬件奖”
5.金珏奖
6.ECI企业服务大数据应用创新奖
7.金V奖“最佳AR应用奖”
8.2018春季峰会AI+未来独角兽第一名
9.第三届中国硬件创客创新大赛三等奖
10.中关村“东升杯”总决赛三等奖
  【政策扶持】
1.北京市中小企业促进专项奖
2.南京领军人才奖
3.海南高新培育专项奖"
SLAM算法研究员,https://www.lagou.com/jobs/5148394.html,"灵动科技
该企业已上传营业执照并通过资质验证审核",北京·中关村,"15k-30k
经验1-3年",不限,"计算机视觉
人工智能
模式识别",[],"“风口行业,商业落地,大神团队,快速成长”","职位描述：
岗位描述： 
1.负责参与室内激光SLAM算法的设计和优化
2.融合IMU、编码器、超声波等传感器并配合后端优化算法实现稳定的机器人定位。 

岗位要求： 
1.硕士及以上学历，计算机、自动化、应用数学、电子通信类相关专业或激光SLAM算法两年以上实际开发经验
2.良好的编程能力，精通C++编程和数据结构，有扎实的数学基础，包括矩阵理论、线性代数、概率以及最优化等
3.熟练掌握目前现有的开源SLAM算法，如gmapping，cartographer等
4.掌握激光传感器、惯性传感器、以及里程计等数据的融合处理与调优方法，能够构建移动机器人的运动学模型
5.有机器人或无人车相关经验者优先，熟悉Linux下ROS系统的优先"
SLAM算法/机器人算法工程师,https://www.lagou.com/jobs/4433571.html,"无境智能机器人
该企业已上传营业执照并通过资质验证审核",深圳·西丽,"15k-30k
经验3-5年",本科,数据分析,[],"“高薪酬,人性化管理,晋升空间大,办公环境优”","职位描述：
岗位职责： 
1、研发机器人自主导航定位算法，包括基于激光雷达、陀螺仪、里程计、视觉等多信息融合，构建机器人运动模型，观测模型等概率学模型；
2、研发机器人自主导航中的路径规划、运动规划算法及探索规划导航算法；
3、研发机器人在未知环境中的地图构建算法，包括SLAM问题中的信息配准融合，闭环检测等前端算法以及贝叶斯滤波，地图优化等后端算法；
4、负责算法的移植和产品化。
  任职资格：
1、熟悉机器人感知、定位、控制相关算法并进行模拟仿真分析
2、熟悉激光雷达的使用和数据分析；
3、熟悉视觉SLAM算法或基于激光雷达的SLAM算法；
4、 熟悉VC++、C语言，能够熟练使用MATLAB进行数据分析；
5、熟悉ROS，有ROS开发经验优先。"
视觉SLAM/SFM/3D算法工程师,https://www.lagou.com/jobs/5336322.html,"地平线机器人
该企业已上传营业执照并通过资质验证审核",北京·海淀区,"20k-40k
经验1-3年",本科,深度学习,[],"“绩效奖金,弹性工作,技术大牛”","职位描述：
 职位描述：
   1、 开发以视觉为主的建图定位系统；
   2、 研究视觉SLAM/SFM、语义SLAM、3D视觉算法；
   3、 工程优化基于视觉的建图/定位模块。
   
   职位要求：
   1、 具有扎实的数学基础，精通多视几何、非线性优化、计算几何等；
   2、 具有SFM/VIO/SLAM/3D视觉等算法开发和系统实现经验；
   3、 扎实的C/C++等语言知识及熟练使用OpenCV/Eigen/G2O/Ceres等库；
   4、 良好的计算机视觉基础知识和团队协作能力。
   
   优先项：
   1、 有相应论文或可展示作品的优先；
   2、 熟悉机器学习/深度学习算法优先；
   3、 有视觉目标检测分割识别经验的优先。
       "
